Courier,Service_Category,Destination_Region,Weight_kg,Insured_Value_Rs,Rate_Rs
M&P,Same Day,Balochistan,0.71,0,438
TCS,Overnight,Sindh,1.94,100000,1962
TCS,Overland,Punjab,3.94,0,603
Leopard,Overland,Islamabad,1.19,0,251
Pakistan Post,City to City,Sindh,1.63,100000,1482
TCS,Economy,Sindh,1.55,0,239
Pakistan Post,City to City,Balochistan,1.9,10000,539
TCS,Local,Islamabad,0.15,100000,1444
M&P,Same Day,Balochistan,5.47,10000,985
Leopard,Economy,Punjab,2.62,20000,479
TCS,Local,Pakhtunkhwa,2.83,0,386
M&P,Same Day,Islamabad,9.85,0,1362
M&P,Overland,Punjab,10.18,0,1126
Pakistan Post,City to City,Balochistan,0.33,0,295
Leopard,Overnight,Sindh,0.77,0,536
M&P,Overland,Punjab,1.43,50000,910
Leopard,Economy,Islamabad,0.3,100000,1335
Leopard,Economy,Sindh,2.57,50000,808
Pakistan Post,City to City,Punjab,0.91,50000,905
M&P,Local,Punjab,1.84,100000,1487
Leopard,Overland,Pakhtunkhwa,7.24,10000,905
Pakistan Post,Local,Balochistan,0.34,20000,454
TCS,Overland,Islamabad,0.43,100000,1360
TCS,Economy,Sindh,1.28,10000,334
Pakistan Post,City to City,Islamabad,3.23,10000,650
M&P,Economy,Sindh,1.72,50000,759
Leopard,Overnight,Sindh,1.27,0,576
Pakistan Post,Local,Islamabad,0.98,50000,805
Pakistan Post,City to City,Islamabad,18.38,20000,1974
TCS,Overland,Islamabad,3.12,0,543
TCS,Economy,Pakhtunkhwa,0.35,10000,315
Leopard,Overland,Pakhtunkhwa,12.4,50000,1744
Pakistan Post,City to City,Pakhtunkhwa,2.23,0,442
Leopard,Overnight,Pakhtunkhwa,0.15,0,492
Leopard,Overnight,Pakhtunkhwa,8.57,50000,1874
Pakistan Post,City to City,Pakhtunkhwa,4.09,50000,1195
M&P,Same Day,Punjab,12.18,0,1518
Pakistan Post,Local,Pakhtunkhwa,2.55,0,269
Pakistan Post,City to City,Sindh,3.98,0,579
Leopard,Overland,Pakhtunkhwa,0.36,20000,427
TCS,Overnight,Islamabad,3.37,100000,2094
TCS,Economy,Sindh,3.27,10000,413
TCS,Overland,Pakhtunkhwa,1.47,0,359
Leopard,Overland,Pakhtunkhwa,2.23,0,334
TCS,Economy,Balochistan,2.1,0,269
Pakistan Post,Local,Islamabad,2.68,10000,390
Leopard,Overnight,Pakhtunkhwa,0.17,0,490
Leopard,Economy,Balochistan,1.08,0,178
Pakistan Post,Local,Balochistan,1.78,0,263
Pakistan Post,Local,Balochistan,1.56,0,239
Leopard,Economy,Islamabad,1.61,0,204
TCS,Local,Punjab,0.98,20000,561
Pakistan Post,City to City,Sindh,3.8,0,532
TCS,Overnight,Punjab,6.15,0,1293
Pakistan Post,Local,Balochistan,0.75,20000,459
